sim,year,species_code,ess,value,in_out
1,2016,10110,ess_t,1046.5192650399856,in
1,2018,10110,ess_t,1723.3728799542137,in
1,2014,10130,ess_t,842.6086889468856,in
1,2016,10130,ess_t,547.5326160927544,in
1,2018,10130,ess_t,736.1242176071481,in
1,2014,21720,ess_t,627.4155591545806,in
1,2016,21720,ess_t,1820.5969842720187,in
1,2018,21720,ess_t,1774.3368903594421,in
1,2014,21740,ess_t,303.75734991373093,in
1,2016,21740,ess_t,137.92001322015537,in
1,2018,21740,ess_t,189.7253056902885,in
1,2014,21921,ess_t,134.40268904397703,in
1,2016,21921,ess_t,126.04856376136946,in
1,2018,21921,ess_t,1408.9197617653017,in
1,2014,30020,ess_t,354.8136862018918,in
1,2016,30020,ess_t,898.2964473013172,in
1,2018,30020,ess_t,539.0595351140682,in
1,2014,30060,ess_t,446.9580665760872,in
1,2016,30060,ess_t,2278.8013187029937,in
1,2018,30060,ess_t,1313.5259484661253,in
1,2014,30420,ess_t,895.8408398563865,in
1,2016,30420,ess_t,407.55086876253506,in
1,2018,30420,ess_t,196.47148187232648,in
2,2014,10110,ess_f,634.0901131664834,in
2,2016,10110,ess_f,697.7601825831374,in
2,2018,10110,ess_f,635.559178145385,in
2,2014,10130,ess_f,600.9896372069593,in
2,2016,10130,ess_f,279.05046363588843,in
2,2018,10130,ess_f,570.6764279130826,in
2,2014,21720,ess_f,578.2178484563146,in
2,2016,21720,ess_f,975.7871893052957,in
2,2018,21720,ess_f,419.77968046959296,in
2,2014,21740,ess_f,186.68120467084626,in
2,2016,21740,ess_f,233.41538762422087,in
2,2018,21740,ess_f,568.3425505760911,in
2,2014,21921,ess_f,160.08931354420577,in
2,2016,21921,ess_f,56.22594598673293,in
2,2018,21921,ess_f,174.65630938247574,in
2,2014,30020,ess_f,217.3413053847291,in
2,2016,30020,ess_f,25.012622264326282,in
2,2018,30020,ess_f,82.81549191438879,in
2,2014,30060,ess_f,630.4958460073212,in
2,2016,30060,ess_f,1165.8642119810197,in
2,2018,30060,ess_f,472.33235125697587,in
2,2014,30420,ess_f,431.53887322669067,in
2,2016,30420,ess_f,1093.12730506159,in
2,2018,30420,ess_f,1121.6006122263511,in
2,2014,10110,ess_m,662.7187486460128,in
2,2016,10110,ess_m,511.9559362529422,in
2,2018,10110,ess_m,505.66845296491175,in
2,2014,10130,ess_m,289.7826256319135,in
2,2016,10130,ess_m,381.7800721378935,in
2,2018,10130,ess_m,276.387820437705,in
2,2014,21720,ess_m,474.22249027460305,in
2,2016,21720,ess_m,579.7764119271658,in
2,2018,21720,ess_m,545.0166522252327,in
2,2014,21740,ess_m,280.21016473583273,in
2,2016,21740,ess_m,65.7170339772618,in
2,2018,21740,ess_m,503.15090226793774,in
2,2014,21921,ess_m,187.98172638559188,in
2,2016,21921,ess_m,56.47234642899438,in
2,2018,21921,ess_m,145.49714418277418,in
2,2014,30020,ess_m,274.643852693369,in
2,2016,30020,ess_m,43.21631937208835,in
2,2018,30020,ess_m,39.187363661016306,in
2,2014,30060,ess_m,720.8815760275082,in
2,2016,30060,ess_m,942.5488538979904,in
2,2018,30060,ess_m,462.0715240780558,in
2,2014,30420,ess_m,457.08210793225516,in
2,2016,30420,ess_m,338.38616440446,in
2,2018,30420,ess_m,520.2441554427495,in
2,2014,10110,ess_t,2358.5980514565404,in
2,2016,10110,ess_t,1922.813214756709,in
2,2018,10110,ess_t,1795.6965443111005,in
2,2014,10130,ess_t,999.8941627809687,in
2,2016,10130,ess_t,581.1612729482276,in
2,2018,10130,ess_t,1548.6496875506025,in
2,2014,21720,ess_t,1142.6174265979134,in
2,2016,21720,ess_t,1200.7965455657547,in
2,2018,21720,ess_t,1247.2197666747015,in
2,2014,21740,ess_t,842.9766732332276,in
2,2016,21740,ess_t,109.36151902745185,in
2,2018,21740,ess_t,652.1018581041751,in
2,2014,21921,ess_t,275.6289861302754,in
2,2016,21921,ess_t,70.23326761716689,in
2,2018,21921,ess_t,475.98263111997477,in
2,2014,30020,ess_t,592.3380012924995,in
2,2016,30020,ess_t,428.44390230629386,in
2,2018,30020,ess_t,899.7984965130132,in
2,2014,30060,ess_t,943.5669105125041,in
2,2016,30060,ess_t,1642.524234871782,in
2,2018,30060,ess_t,4523.716194985751,in
2,2014,30420,ess_t,383.29145354261203,in
2,2016,30420,ess_t,1184.932960197012,in
2,2018,30420,ess_t,1126.4297432075398,in
3,2014,10110,ess_f,627.0468827872335,in
3,2016,10110,ess_f,929.8281605791975,in
3,2018,10110,ess_f,715.531752751217,in
3,2014,10130,ess_f,581.0588070384814,in
3,2016,10130,ess_f,489.06708405128995,in
3,2018,10130,ess_f,280.6120813459899,in
3,2014,21720,ess_f,462.2169962704355,in
3,2016,21720,ess_f,623.2325831540802,in
3,2018,21720,ess_f,325.1618422979556,in
3,2014,21740,ess_f,97.13326911507467,in
3,2016,21740,ess_f,49.20074736782323,in
3,2018,21740,ess_f,295.46749649685006,in
3,2014,21921,ess_f,235.10673296248328,in
3,2016,21921,ess_f,264.2588618405655,in
3,2018,21921,ess_f,528.5323934969164,in
3,2014,30020,ess_f,256.52914806052274,in
3,2016,30020,ess_f,92.32289491772917,in
3,2018,30020,ess_f,30.47386870214844,in
3,2014,30060,ess_f,408.43380168156784,in
3,2016,30060,ess_f,454.06411314264,in
