sim,year,species_code,ess,value,in_out
2,2014,10110,ess_t,676.5421933995561,in
2,2016,10110,ess_t,1025.2016370552,in
2,2018,10110,ess_t,972.2819580258438,in
2,2014,10130,ess_t,372.506343457676,in
2,2016,10130,ess_t,1180.5864892531504,in
2,2018,10130,ess_t,795.7299194817936,in
2,2014,21720,ess_t,1210.1011798979928,in
2,2016,21720,ess_t,1502.7050605246184,in
2,2018,21720,ess_t,1098.6133483404776,in
2,2014,21740,ess_t,453.5041915668117,in
2,2016,21740,ess_t,90.03842706429973,in
2,2018,21740,ess_t,564.1013262080565,in
2,2014,21921,ess_t,326.24479530197056,in
2,2016,21921,ess_t,36.73593864861791,in
2,2018,21921,ess_t,216.74770549636497,in
2,2014,30020,ess_t,416.4339890271789,in
2,2016,30020,ess_t,273.5084300390318,in
