sim,year,sub_samp,species_code,relb_males,relb_females
2,2021,t100,21740,-0.0809332693183246,-0.05435183271425376
2,2021,t150,21740,-0.0809332693183246,-0.05435183271425376
2,2021,t100,30060,0.00882995341508372,0.0059685993062546395
2,2021,t150,30060,0.00882995341508372,0.0059685993062546395
2,2021,t100,30420,0.007209678263659083,-0.02785797930823351
2,2021,t150,30420,0.007209678263659083,-0.02785797930823351
3,2017,t100,10110,-0.010784165928008663,-0.020961301172835414
3,2017,t150,10110,-0.010784165928008663,-0.020961301172835414
3,2017,t100,10130,0.0028144113192975643,-0.02657403224822412
3,2017,t150,10130,0.0028144113192975643,-0.02657403224822412
3,2017,t100,10200,-0.0204941045834957,0.0017168554911297467
3,2017,t150,10200,-0.0204941045834957,0.0017168554911297467
3,2017,t100,10261,-0.006542886150950568,0.0030536874539613436
