year,species_code,comp_type,iss_age,base_iss_length,sub_iss_length,sub_samp,region,bin
2019,10130,male,82.55841716509399,437.2771781189921,436.78377266091354,t200,goa,2cm
2019,10130,total,136.97158067846598,744.0848704416346,743.5984849138019,t200,goa,2cm
2019,10200,female,204.31434939104204,813.9250295652279,813.9250295652279,t200,goa,2cm
2019,10200,male,152.92681225889925,471.3070709293488,471.3070709293488,t200,goa,2cm
2019,10200,total,318.49626726674467,928.9389745242012,928.9389745242012,t200,goa,2cm
2019,21720,female,52.78558750487472,165.77663530709594,165.77663530709594,t200,goa,2cm
2019,21720,male,58.38517106327004,176.7950829397912,176.7950829397912,t200,goa,2cm
2019,21720,total,68.30267535382568,205.6227842730691,205.6227842730691,t200,goa,2cm
2019,21740,female,101.76881643522648,237.8935655799329,236.72385963601664,t200,goa,2cm
2019,21740,male,84.33575575259366,155.882180091432,155.3462783930444,t200,goa,2cm
2019,21740,total,83.25667573777105,177.50465144925045,177.22693719843903,t200,goa,2cm
2019,30060,female,235.91161622437855,441.8093177695378,441.06336924636264,t200,goa,2cm
2019,30060,male,243.0055705107356,327.4979883685384,327.41158545427453,t200,goa,2cm
2019,30060,total,363.11351512231016,447.7977738295776,447.4930305053654,t200,goa,2cm
2019,30420,female,102.33506252760596,75.10097358347377,75.10097358347377,t200,goa,2cm
2019,30420,male,74.93665112571215,161.92237280395227,161.92237280395227,t200,goa,2cm
2019,30420,total,174.31434746026667,162.09461803344612,162.09461803344612,t200,goa,2cm
2021,10130,female,128.8636225900507,979.6701919558052,978.6633460299904,t200,goa,2cm
2021,10130,male,96.4956225460581,872.1896679874868,872.1506132885107,t200,goa,2cm
2021,10130,total,212.83251966361377,1393.786571565414,1393.6017556173724,t200,goa,2cm
2021,21720,female,148.8240006797262,610.2512476546817,610.2512476546817,t200,goa,2cm
2021,21720,male,109.25070469295554,508.9043474378114,508.9043474378114,t200,goa,2cm
2021,21720,total,197.75941887113643,841.235359051541,841.235359051541,t200,goa,2cm
2021,21740,female,82.32497522359228,229.4683516248773,228.3651666249343,t200,goa,2cm
2021,21740,male,77.72615619889844,204.29874404342772,203.1156219080632,t200,goa,2cm
2021,21740,total,85.8652816092864,244.1421020050236,243.61002654125673,t200,goa,2cm
2021,30060,female,190.6541863489041,191.663373074446,191.7187876701843,t200,goa,2cm
2021,30060,male,243.7838997595975,182.53619228907257,182.5194308096686,t200,goa,2cm
