sim,year,species_code,sub_samp,relb_sexr
3,2021,10261,t150,-0.18077199059468618
3,2021,21720,t100,-0.05190085497450989
3,2021,21720,t150,-0.05190085497450989
3,2021,21740,t100,-0.05117705708248184
3,2021,21740,t150,-0.05117705708248184
3,2021,30060,t100,0.04628784176427404
3,2021,30060,t150,0.04628784176427404
3,2021,30420,t100,0.31569931467027623
3,2021,30420,t150,0.31569931467027623
4,2017,10110,t100,0.03549317646595056
4,2017,10110,t150,0.03549317646595056
4,2017,10130,t100,0.10557337530143261
4,2017,10130,t150,0.10557337530143261
4,2017,10200,t100,0.09963975614084009
4,2017,10200,t150,0.09963975614084009
4,2017,10261,t100,0.04994156919451218
4,2017,10261,t150,0.04994156919451218
4,2017,21720,t100,0.009300548737897603
4,2017,21720,t150,0.009300548737897603
4,2017,21740,t100,-0.06113088199779391
