year,species_code,comp_type,base_iss_age,sub_iss_age,sub_samp,region
1993,10180,total,88.67777865669736,36.55386628982006,a25,goa
1993,21720,female,119.80897893899856,49.49231590151866,a25,goa
1993,21720,male,115.99470450056364,44.12505564015449,a25,goa
1993,21720,total,165.2350789180938,79.36742291813097,a25,goa
1993,21740,female,166.96374572534603,96.51080086984514,a25,goa
1993,21740,male,133.61873667938102,76.91769538670154,a25,goa
1993,21740,total,175.6352743867935,125.34346873528212,a25,goa
1993,30060,female,140.10475084601714,69.24683134979841,a25,goa
1993,30060,male,170.34788242481855,75.71635186927456,a25,goa
1993,30060,total,228.1571743379909,122.59466583319704,a25,goa
1993,30420,female,21.563668459280255,9.11988999803165,a25,goa
1993,30420,male,19.245659408103187,6.4109387364336206,a25,goa
1993,30420,total,43.56499710736499,20.54419430539514,a25,goa
