year,species_code,comp_type,iss_age,base_iss_length,sub_iss_length,sub_samp,region
2019,21740,female,95.70951156817031,430.42464627055347,331.6622244709806,t50,goa
2019,21740,male,77.5378717269134,269.54785524101356,214.77716488289465,t50,goa
2019,21740,total,77.95451695834457,329.74452420334114,293.3075674677827,t50,goa
2019,30060,female,220.453026948346,716.3233267974744,503.47128855912007,t50,goa
2019,30060,male,228.86415936765624,535.3026009000201,397.97653994504185,t50,goa
2019,30060,total,339.56174554241977,774.3111495533453,626.2155590388036,t50,goa
2019,30420,female,83.97008845349401,123.76386870961848,89.92941146137169,t50,goa
2019,30420,male,61.64209500498568,192.02793863080663,103.60441395872736,t50,goa
2019,30420,total,142.18662632531928,250.30886417540043,172.63494292809986,t50,goa
2021,10130,female,93.86489205397548,1301.1741932973723,821.3997594997426,t50,goa
2021,10130,male,85.85270521439321,1259.375786578484,824.459322526555,t50,goa
2021,10130,total,175.73925326095545,2091.238420077283,1449.0965783094937,t50,goa
2021,10262,female,251.7785777183797,1677.9733519005606,1250.8490374769012,t50,goa
2021,10262,male,113.32814466958904,591.0765691889893,462.56933928786265,t50,goa
2021,10262,total,359.00513657579273,1911.927248128937,1489.6073411077643,t50,goa
2021,21720,female,108.50354968010043,743.9448814781897,693.9044120272926,t50,goa
2021,21720,male,108.5108678577133,652.8983010315837,607.0442398590187,t50,goa
2021,21720,total,162.12572784068786,1174.878298538587,1108.1407600031491,t50,goa
2021,21740,female,87.30548491880627,427.49880218156824,337.9552643410589,t50,goa
2021,21740,male,79.61807267456408,356.88279346756246,280.99263315554276,t50,goa
2021,21740,total,89.89357118403217,470.6850183982133,411.2008422479,t50,goa
2021,30060,female,177.3201995970712,275.93495234465104,204.2185334825846,t50,goa
2021,30060,male,237.1115727810601,314.572684984491,239.4348295992682,t50,goa
2021,30060,total,340.5715300042549,395.2884427313531,324.6402143090675,t50,goa
2021,30420,female,99.15207820646874,144.86740237227767,88.23610184434793,t50,goa
2021,30420,male,105.81212451997663,258.56961907811416,147.18379821735874,t50,goa
2021,30420,total,192.07031357317535,323.56293792443694,205.59537118967685,t50,goa
1990,10180,female,42.24727760048409,557.1960018115698,532.9169014500477,t50,goa
1990,10180,male,23.031674028742874,230.850806187152,224.03523153904428,t50,goa
1990,10180,total,62.92641947433123,600.647062301229,585.0874081834107,t50,goa
1990,21720,female,76.13762249298877,467.4746756342717,320.5939747470175,t50,goa
1990,21720,male,62.66686297396259,412.4611346393486,287.1766619700039,t50,goa
1990,21720,total,99.65406467441184,576.9079567962758,446.9705588056396,t50,goa
1990,21740,female,101.42836915779792,656.1896014648462,490.6105329438939,t50,goa
1990,21740,male,72.71738029139148,442.07611104646287,327.9774680056434,t50,goa
1990,21740,total,101.20079874674504,420.8286698442562,377.34015190084,t50,goa
1990,30060,female,110.3624415662534,140.9081528576924,112.66086329465485,t50,goa
1990,30060,male,154.34954030489007,226.37720492794455,170.9501619792268,t50,goa
1990,30060,total,162.45308411097815,235.25231590837063,199.60780388082583,t50,goa
1990,30420,female,38.686466681398755,67.81093597063465,47.63606923921286,t50,goa
1990,30420,male,29.10345952164332,77.18491386657097,57.54707127133741,t50,goa
1990,30420,total,57.7421187745894,104.82452437140464,83.30623707397342,t50,goa
1993,10180,female,55.65044618095371,1122.0686067348531,977.3612403992566,t50,goa
1993,10180,male,37.14441577830624,1080.4175536078924,908.6470805952326,t50,goa
1993,10180,total,90.66160339364824,2063.1451353761645,1779.817725091118,t50,goa
1993,21720,female,113.31133032993657,651.7649713095634,415.3586763650584,t50,goa
1993,21720,male,106.12669131004552,607.0703253504466,397.4305949102731,t50,goa
1993,21720,total,153.76767595928604,921.818739338885,663.8458358978218,t50,goa
1993,21740,female,184.54026360118513,667.1733696628736,461.1342583624556,t50,goa
1993,21740,male,133.7375676656254,473.96577741457,353.93380957939553,t50,goa
1993,21740,total,187.59745805337744,883.0049496682885,688.525508726966,t50,goa
1993,30060,female,137.15278958994722,215.8209470565885,164.17156212346617,t50,goa
1993,30060,male,157.1157455880123,259.6287936251195,189.2525601830726,t50,goa
1993,30060,total,210.41440677275915,291.2386110066946,242.34821594910127,t50,goa
1993,30420,female,22.35393771155081,92.49798935044782,68.3266187783335,t50,goa
1993,30420,male,19.97560690357545,142.76628189257295,95.62052947200448,t50,goa
1993,30420,total,44.82504606299141,164.51715766814863,125.9139913580605,t50,goa
1996,10180,female,81.74015953175599,1036.557471288971,951.6573446502584,t50,goa
1996,10180,male,60.066441751648114,1023.656048715048,879.1835754887616,t50,goa
1996,10180,total,139.13516509050095,1817.7039791960892,1634.170896013852,t50,goa
1996,20510,female,72.53816027170525,362.4506443758262,291.2737568352915,t50,goa
1996,20510,male,69.1876338564689,579.3924491156993,440.3453151773869,t50,goa
1996,20510,total,110.30739034927612,682.6145649805753,565.4127414482106,t50,goa
1996,21720,female,56.22039586658732,377.4745783697931,264.9325934422863,t50,goa
1996,21720,male,25.68827257789877,189.58180834922615,148.67856689717604,t50,goa
1996,21720,total,40.626145157535,305.9219996721668,253.32736784682308,t50,goa
1996,21740,female,80.47758481618995,340.36779600137913,225.1922233188675,t50,goa
1996,21740,male,51.231715950764745,258.9163436542739,174.32602554840224,t50,goa
1996,21740,total,36.876254718276506,119.71534076887376,105.83641285828725,t50,goa
1996,30060,female,72.87673344936532,221.95443679502807,159.93365620343744,t50,goa
1996,30060,male,73.38389883106198,188.8395223445989,141.27599860042838,t50,goa
1996,30060,total,114.78489541581708,258.44347223153727,211.95045429756897,t50,goa
1996,30420,female,63.687011311134214,107.05531987868584,95.11965635441064,t50,goa
1996,30420,male,72.28271108324766,143.01369794274748,116.79485108418368,t50,goa
1996,30420,total,129.43665351194818,219.72368557460305,191.90988083663677,t50,goa
1999,10180,female,72.34851028631411,990.0605692209076,906.223916700256,t50,goa
1999,10180,male,52.50528756160738,954.9152835556204,872.4156502553661,t50,goa
1999,10180,total,114.46577269254892,1687.0807669334972,1552.110205300682,t50,goa
1999,20510,female,65.08351190831637,612.6721321565042,528.9373547739126,t50,goa
1999,20510,male,72.35610327136676,750.8611857497712,675.1539353840305,t50,goa
1999,20510,total,100.56782437065728,1012.0918058842724,925.9363199874058,t50,goa
1999,21720,female,127.04542602582976,1083.65148860875,762.4298701566455,t50,goa
1999,21720,male,110.70280633397888,974.7543500618576,712.3412552145663,t50,goa
1999,21720,total,176.5706318414203,1452.5565542956324,1147.2698920004282,t50,goa
1999,21740,female,116.80519922796546,528.547144373519,334.4162050657402,t50,goa
1999,21740,male,66.76325796836124,253.631049299136,168.16731358850998,t50,goa
1999,21740,total,105.38406762769924,446.5793388763853,324.68830097354487,t50,goa
1999,30060,female,80.43387088128306,169.93995925829603,94.02467334974028,t50,goa
1999,30060,male,79.52051864791808,114.33666260532712,68.41685130164312,t50,goa
1999,30060,total,115.11963222653092,212.5747212315243,138.5734543561028,t50,goa
1999,30420,female,31.87542290426637,70.26190150541589,48.36576567517597,t50,goa
1999,30420,male,38.70722846935005,79.83014045059144,48.06482681049989,t50,goa
1999,30420,total,57.35495457128276,158.123526344671,98.39528070312946,t50,goa
2001,10180,female,116.47576212635062,363.8640047318314,359.4525096375404,t50,goa
2001,10180,male,78.45871019328551,339.32310411342917,336.90156698343867,t50,goa
2001,10180,total,185.9376236812308,655.2206581570556,648.7514988389547,t50,goa
2001,21720,female,101.87944854846936,564.5489842299935,385.4755611098777,t50,goa
2001,21720,male,97.99950305480198,527.0021344719469,359.2594266969744,t50,goa
2001,21720,total,125.61719496039213,770.06754070351,580.7672980421162,t50,goa
2001,21740,female,37.284479121998665,89.90556769979193,83.30248375055157,t50,goa
2001,21740,male,26.647659433471578,93.6871245717961,85.52042894245179,t50,goa
2001,21740,total,33.3452212106436,98.06783925420233,93.69440289247012,t50,goa
2001,30420,female,53.57715032891104,83.68472383301382,51.775656372815355,t50,goa
2001,30420,male,53.55645716059794,145.8884442269383,65.20209272901026,t50,goa
2001,30420,total,100.8462666426377,169.87100383816303,102.42919655221228,t50,goa
2003,10180,female,112.37897949828591,471.63069319102584,393.97800328550454,t50,goa
2003,10180,male,82.60339722257734,516.8606853225356,451.26604553383777,t50,goa
2003,10180,total,167.31572367541995,732.7114331165939,658.2908798544315,t50,goa
2003,21720,female,138.30773676554597,1060.9782084634758,710.2281551568026,t50,goa
2003,21720,male,123.73708266776968,1155.834721904775,767.1015463685118,t50,goa
2003,21720,total,213.77581395154033,1746.4351224711706,1249.7966282141065,t50,goa
2003,21740,female,154.3138043296666,811.8303676159571,627.9489448479615,t50,goa
2003,21740,male,127.2112326473382,740.688422264792,556.0259826916715,t50,goa
2003,21740,total,171.39000795807894,859.8225259472209,736.7557252125728,t50,goa
2003,30060,female,158.1811385847081,373.248897430517,297.9533621438629,t50,goa
2003,30060,male,157.97080563006548,407.9816932423295,320.3256027463301,t50,goa
2003,30060,total,254.05083779224844,516.2187129718799,445.2658481517904,t50,goa
2003,30420,female,18.836612949808373,155.57705269691058,100.16361564727586,t50,goa
2003,30420,male,27.247335287586957,157.16778904061198,96.77744060226374,t50,goa
2003,30420,total,46.215563212881875,254.7717432593342,174.2592685361232,t50,goa
2005,10180,female,122.28785439302553,891.1393501787168,794.8685269943956,t50,goa
2005,10180,male,89.76714069471456,1020.0805038271552,898.2299745841075,t50,goa
2005,10180,total,189.3907279798607,1753.8434608140828,1568.0994692054162,t50,goa
2005,21720,female,60.025427450313465,382.9625586871121,287.270822832945,t50,goa
2005,21720,male,71.97800680364583,425.58472556957855,296.3985711891141,t50,goa
2005,21720,total,87.13916242941505,526.6238313357763,424.7345815223563,t50,goa
2005,21740,female,197.42162577325703,894.8469947812622,624.4926114050577,t50,goa
2005,21740,male,149.90340491224444,734.999188489105,497.83761299002754,t50,goa
2005,21740,total,92.65186116487534,405.812823911812,360.8096137302233,t50,goa
2005,30060,female,164.66565022356062,463.02681995924775,316.2491028414,t50,goa
2005,30060,male,165.27691861985176,468.84882946053074,316.163666431052,t50,goa
2005,30060,total,268.2910515851457,600.8717623566425,462.59553113785455,t50,goa
2005,30420,female,37.25277562493252,21.3094143733106,20.66066939343119,t50,goa
2005,30420,male,51.4859801859489,91.4009894808978,73.26535943712423,t50,goa
2005,30420,total,70.1009082046192,45.36457134745698,43.62707669629501,t50,goa
2007,10180,female,86.15717797533655,643.231153601705,595.1055714994233,t50,goa
2007,10180,male,78.48347229214795,804.2025125112806,733.924865477308,t50,goa
2007,10180,total,153.47776432853405,1349.39359295312,1244.1393322728989,t50,goa
2007,21720,female,32.10409877527403,335.5819927619767,265.86982916110213,t50,goa
2007,21720,male,35.52525862978113,364.1022701338863,277.9397037491555,t50,goa
2007,21720,total,37.838959146385605,418.7483085523003,358.59826695710177,t50,goa
2007,21740,female,79.80451193760277,349.34331471824964,278.9554005877525,t50,goa
2007,21740,male,82.41068914325571,331.8526573406887,266.1121640438893,t50,goa
2007,21740,total,91.83925954637556,426.0981001850576,376.6444502687152,t50,goa
2007,30060,female,179.6680618028281,434.61435339983495,321.43386390725885,t50,goa
2007,30060,male,152.02760621588376,418.326999305085,310.4779640658859,t50,goa
2007,30060,total,293.92129793117135,521.3377952869919,431.9832560679486,t50,goa
2007,30420,female,116.6024146964518,213.09409282343825,104.972462587695,t50,goa
2007,30420,male,100.63598693552932,174.42486488068678,97.4923895436453,t50,goa
2007,30420,total,192.94641387003225,260.8074196346394,163.53210811371662,t50,goa
2009,10180,female,115.36517179376952,870.59275829715,803.795407318782,t50,goa
2009,10180,male,93.20235550898614,938.0680869607544,852.2188977844145,t50,goa
2009,10180,total,197.87877533191983,1705.188097508028,1559.381180201918,t50,goa
2009,21720,female,75.83099709536707,494.4920640782997,325.8024009098376,t50,goa
2009,21720,male,68.59999521396246,462.6664482671885,293.26480537666333,t50,goa
2009,21720,total,13.88846365175233,108.62522749716156,98.47964132467494,t50,goa
2009,21740,female,101.68534030892924,435.4250674208813,335.41754836109874,t50,goa
2009,21740,male,87.11741359247705,337.61696616705257,273.4632093645388,t50,goa
2009,21740,total,72.6594141525045,410.3387785804691,367.50683401554573,t50,goa
2009,30060,female,60.89454010046373,514.2132033485913,347.42558575415995,t50,goa
2009,30060,male,43.22566631871958,540.844690541067,382.7317276959159,t50,goa
2009,30060,total,93.8181890566955,691.7552350840351,537.5447125176531,t50,goa
2009,30420,female,116.43473028201775,160.83713613341786,107.98729150001112,t50,goa
2009,30420,male,119.89289209041924,199.35556957231543,135.47925312633654,t50,goa
2009,30420,total,215.75812480375336,316.0373415549973,221.244464033188,t50,goa
2011,10180,female,105.75440908234728,683.3238781383889,614.8296402560757,t50,goa
2011,10180,male,78.67614478248016,727.2648474489156,632.0625113161427,t50,goa
2011,10180,total,164.52828785547405,1299.335468124454,1148.9451310430925,t50,goa
2011,21720,female,89.54234014385486,483.67496125531994,336.54475110249064,t50,goa
2011,21720,male,103.2379131068352,565.4312493433166,376.9757661312147,t50,goa
2011,21720,total,124.1636714603345,672.30635545792,519.6356214279066,t50,goa
2011,21740,female,124.0464140949903,504.3302730968725,394.267349897333,t50,goa
2011,21740,male,93.49514793959406,384.50551649081143,306.0517461158861,t50,goa
2011,21740,total,121.47909113769684,499.6026426559396,437.5640640230978,t50,goa
2011,30060,female,112.51909151424812,265.04143018681293,207.6288032889284,t50,goa
2011,30060,male,115.5327123138095,266.9068212313799,220.4150603822002,t50,goa
2011,30060,total,168.0669887894872,316.74855817181253,278.18725500410085,t50,goa
2011,30420,female,79.70274323302544,150.6756763103139,91.3579343452425,t50,goa
2011,30420,male,56.57584485882391,143.02719411712795,87.85813672943628,t50,goa
2011,30420,total,125.048356208008,346.05290604308783,200.99385349851957,t50,goa
2013,10180,female,82.49784268523014,417.9838051877763,300.522939513203,t50,goa
2013,10180,male,79.91342424632566,315.4767849088613,258.617989541044,t50,goa
2013,10180,total,155.29055265446723,569.0387827414345,460.04784464075647,t50,goa
2013,21720,female,74.63484437734397,407.21509614569675,319.4198743261895,t50,goa
2013,21720,male,51.11913986726925,357.6307907925658,295.0926476594533,t50,goa
2013,21720,total,67.8997179848128,469.7867841194365,412.06310368171046,t50,goa
